학교명,도로명우편번호,도로명주소,도로명상세주소,좌표X,좌표Y
서울가락초등학교,5698,서울특별시 송파구 송파대로37길 45,(가락동/ 가락초등학교),127.107214872322,37.4998746399971
서울가동초등학교,5820,서울특별시 송파구 중대로20길 47,(가락동),127.129790328684,37.4972559260218
우촌초등학교,2831,서울특별시 성북구 성북로4길 52-1,(돈암동/우촌초등학교),127.011400646113,37.5956408923336
영훈초등학교,1211,서울특별시 강북구 도봉로13가길 19,(미아동/학교법인영훈학원),127.02809331872,37.6146818749027
성신초등학교,2840,서울특별시 성북구 북악산로 918,(돈암동/성신초등학교),127.023128563512,37.5946226781717
매원초등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),127.019187491701,37.597674141541
대광초등학교,2859,서울특별시 성북구 안암로 5,(보문동7가/대광초등학교),127.023445857158,37.5791510372431
광운초등학교,2763,서울특별시 성북구 한천로 694,/ 광운초등학교 (장위동/ 광운초등학교),127.055243952183,37.6189751371516
서울화계초등학교,1158,서울특별시 강북구 솔매로50가길 25,(미아동),127.02971619019,37.6238849781413
서울청덕초등학교,2706,서울특별시 성북구 정릉로9라길 11,(정릉동/서울청덕초등학교),127.000333434653,37.6120328876191
서울정수초등학교,2813,서울특별시 성북구 정릉로24길 58,(정릉동/서울정수초등학교),127.007718883621,37.6037748856219
서울정릉초등학교,2701,서울특별시 성북구 솔샘로25가길 8,(정릉동/서울정릉초등학교),127.005532713286,37.6197915298294
서울정덕초등학교,2826,서울특별시 성북구 아리랑로 63,(동소문동7가/서울정덕초등학교),127.013421324355,37.5982399496277
서울장위초등학교,2769,서울특별시 성북구 장월로8가길 41,(장위동/서울장위초등학교),127.050006419755,37.6114425067997
서울장월초등학교,2758,서울특별시 성북구 한천로101길 66,(장위동/ 서울장월초등학교),127.047320465849,37.6219292248914
서울장곡초등학교,2754,서울특별시 성북구 장월로23길 16,(장위동/서울장곡초등학교),127.048151233375,37.6168600216767
서울일신초등학교,2795,서울특별시 성북구 월곡로 74,(종암동/서울일신초등학교),127.040178106531,37.5988135716924
서울인수초등학교,1020,서울특별시 강북구 인수봉로 269,(수유동/서울인수초등학교),127.009135759866,37.6430505301735
서울유현초등학교,1095,서울특별시 강북구 인수봉로37길 24,(수유동/서울유현초등학교),127.011327052457,37.632286451855
서울월곡초등학교,2747,서울특별시 성북구 장월로3길 42,(장위동/서울월곡초등학교),127.046081036716,37.6100244163153
서울우이초등학교,1085,서울특별시 강북구 삼양로99길 36,(수유동/서울우이초등학교),127.014240485582,37.6386058279529
서울오현초등학교,1230,서울특별시 강북구 월계로 221,(번동/오현초등학교),127.046225894356,37.6232028439088
서울안암초등학교,2850,서울특별시 성북구 고려대로7가길 39,(안암동2가/ 서울안암초등학교),127.022098883314,37.5871586956296
서울숭인초등학교,2741,서울특별시 성북구 오패산로16길 37,(하월곡동/서울숭인초등학교),127.038146527662,37.6090977872099
서울숭례초등학교,2811,서울특별시 성북구 종암로5길 14,(종암동/서울숭례초등학교),127.035297176327,37.594521188017
서울숭덕초등학교,2718,서울특별시 성북구 정릉로 279,(정릉동/서울숭덕초등학교),127.013292433921,37.6038254756354
서울숭곡초등학교,2736,서울특별시 성북구 종암로40길 30,(하월곡동/서울숭곡초등학교),127.032815115145,37.6084328380922
서울수유초등학교,1116,서울특별시 강북구 삼양로74길 39,/ 수유초등학교,127.020292410668,37.631249657314
서울수송초등학교,1061,서울특별시 강북구 한천로124길 14,(번동),127.032917771185,37.6373144075316
서울송천초등학교,1208,서울특별시 강북구 삼양로20길 29,(미아동/서울송천초등학교),127.023735366645,37.614905195868
서울송중초등학교,1165,서울특별시 강북구 오현로 9,(미아동/송중초등학교),127.031996538921,37.6174690796359
서울성북초등학교,2837,서울특별시 성북구 성북로 102-10,(성북동/서울성북초등학교),126.99877539809,37.5940538893567
서울석관초등학교,2783,서울특별시 성북구 돌곶이로22길 21,/ 서울석관초등학교 (석관동/서울석관초등학교),127.058355255147,37.6110220564376
서울석계초등학교,2780,서울특별시 성북구 한천로58길 273,(석관동),127.069732061242,37.6088136847633
서울삼양초등학교,1181,서울특별시 강북구 삼양로49길 17,(미아동/삼양초등학교),127.016149099325,37.6232955761621
서울삼선초등학교,2863,서울특별시 성북구 보문로29길 106,(삼선동3가/서울삼선초등학교),127.012671844176,37.5871415236472
서울삼각산초등학교,1198,서울특별시 강북구 삼양로19길 141,(미아동/삼각산초등학교),127.014342650437,37.6160412359101
서울번동초등학교,1224,서울특별시 강북구 오현로 204,(번동/번동초등학교),127.040039390037,37.6290238580608
서울미양초등학교,1187,서울특별시 강북구 솔샘로 195,(미아동/미양초등학교),127.014133356491,37.6215324222942
서울미아초등학교,2724,서울특별시 성북구 삼양로 77,(길음동/ 서울미아초등학교),127.021644405392,37.6105876087904
서울동신초등학교,2874,서울특별시 성북구 보문사길 50,(보문동3가/서울동신초등학교),127.017057951549,37.5832878743837
서울돈암초등학교,2830,서울특별시 성북구 동소문로13길 38,(동소문동6가/서울돈암초등학교),127.013004275409,37.5937262094153
서울길음초등학교,2723,서울특별시 성북구 길음로 142,(길음동/서울길음초등학교),127.016659970388,37.6136311475404
서울길원초등학교,2715,서울특별시 성북구 길음로15길 55,/ 서울길원초등학교 (길음동),127.01679961391,37.6090646447836
서울개운초등학교,2806,서울특별시 성북구 정릉로48길 52,(돈암동/서울개운초등학교),127.027404487079,37.6018109508133
서울개현초등학교,6321,서울특별시 강남구 선릉로 15,(개포동),127.062042570555,37.4810262095918
서울자곡초등학교,6373,서울특별시 강남구 자곡로 150,(자곡동),127.099482575625,37.4720493601914
서울율현초등학교,6370,서울특별시 강남구 밤고개로21길 15,/ 서울율현초등학교 (자곡동),127.108265007698,37.474558700755
서울우솔초등학교,6767,서울특별시 서초구 양재대로2길 74,/ 서울우솔초등학교 (우면동),127.019275619438,37.4570942208519
서울세명초등학교,6375,서울특별시 강남구 자곡로 55,/ 서울세명초등학교 (세곡동),127.091075885061,37.4688571015783
서울우면초등학교,6765,서울특별시 서초구 태봉로,59,127.026054562784,37.4653655626944
서울학동초등학교,6100,서울특별시 강남구 선릉로115길 42,/ 서울학동초등학교 (논현동),127.039435597045,37.512045952
서울포이초등학교,6311,서울특별시 강남구 개포로22길 87,/ 서울포이초등학교 (개포동/포이초등학교),127.052045721323,37.4758166247606
서울청담초등학교,6010,서울특별시 강남구 압구정로71길 9,(청담동/청담초등학교),127.045153024716,37.5282818704161
서울잠원초등학교,6547,서울특별시 서초구 신반포로16길 15-25,(반포동/ 잠원초등학교),126.9983875282,37.5018590933365
서울일원초등학교,6345,서울특별시 강남구 영동대로4길 20,(일원동/일원초등학교),127.076141940265,37.4898127052732
서울이수초등학교,6692,서울특별시 서초구 방배천로4길 23,서울이수초등학교 (방배동/이수초등학교),126.984058772938,37.4781887381851
서울원촌초등학교,6544,서울특별시 서초구 사평대로45길 26,(반포동/서울원촌초등학교),127.012346682947,37.5062446440008
서울원명초등학교,6602,서울특별시 서초구 고무래로 90-6,(서초동/원명초등학교),127.017066977739,37.5007499044884
서울우암초등학교,6762,서울특별시 서초구 바우뫼로7길 38,(우면동/우암초등학교),127.02372343403,37.4722955480804
서울왕북초등학교,6353,서울특별시 강남구 광평로31길 74,(수서동/왕북초등학교),127.086237195421,37.4862610232719
서울영희초등학교,6338,서울특별시 강남구 일원로 21,(일원동/영희초등학교),127.081132787699,37.4923003980946
서울역삼초등학교,6251,서울특별시 강남구 강남대로66길 21,(역삼동/역삼초등학교),127.032564910969,37.4931444060362
서울언주초등학교,6268,서울특별시 강남구 남부순환로363길 19,(도곡동/언주초등학교),127.03679299115,37.4863219964306
서울언북초등학교,6066,서울특별시 강남구 삼성로135길 42,(청담동/언북초등학교),127.044715764538,37.520125172379
서울언남초등학교,6800,서울특별시 서초구 헌릉로8길 42,(내곡동),127.061436582525,37.4541133292306
서울양전초등학교,6328,서울특별시 강남구 개포로 513,/ 서울양전초등학교,127.069170862479,37.4902478541395
서울양재초등학교,6755,서울특별시 서초구 바우뫼로18길 14,(양재동/양재초등학교),127.03189250195,37.4741653841614
서울압구정초등학교,6004,서울특별시 강남구 압구정로39길 29,(압구정동/압구정초등학교),127.030841741797,37.5317391125935
서울신중초등학교,6712,서울특별시 서초구 남부순환로317길 15,(서초동/서울신중초등학교),127.009343254537,37.4801578791721
서울신동초등학교,6517,서울특별시 서초구 나루터로 15,(잠원동/신동초등학교),127.011390388152,37.5171300437436
서울신구초등학교,6029,서울특별시 강남구 압구정로18길 28,(신사동/신구초등학교),127.023992427855,37.5233605741978
서울수서초등학교,6348,서울특별시 강남구 광평로51길 46,(수서동/수서초등학교),127.10185783552,37.4911373654824
서울서초초등학교,6613,서울특별시 서초구 서운로 178,(서초동/서초초등학교),127.024891501335,37.4990487668755
서울서일초등학교,6723,서울특별시 서초구 남부순환로339길 38,(서초동/서일초등학교),127.02215975144,37.4852977769965
서울서이초등학교,6630,서울특별시 서초구 서운로 35,(서초동/서이초등학교),127.025618024318,37.491564668711
서울서원초등학교,6598,서울특별시 서초구 고무래로 63,/ 서울서원초등학교 (반포동),127.014619457733,37.5024388979462
서울서래초등학교,6574,서울특별시 서초구 방배로 260,(방배동/서래초등학교),126.990156472861,37.4964040023549
서울삼릉초등학교,6097,서울특별시 강남구 봉은사로63길 22,(삼성동/삼릉초등학교),127.047172253926,37.5132582999042
서울봉은초등학교,6078,서울특별시 강남구 학동로 610,(삼성동/봉은초등학교),127.060746725412,37.5200478271392
서울방현초등학교,6700,서울특별시 서초구 효령로4길 58,(방배동/방현초등학교),126.990073388581,37.4765029769283
서울방일초등학교,6663,서울특별시 서초구 방배로18길 52,(방배동),126.998848974708,37.4852056040312
서울방배초등학교,6570,서울특별시 서초구 방배중앙로13길 26,(방배동/방배초등학교),126.987137986274,37.4867641043401
서울반포초등학교,6502,서울특별시 서초구 신반포로 55-4,/ 서울반포초등학교 (반포동/반포초등학교),126.991741582915,37.5024848344961
서울반원초등학교,6510,서울특별시 서초구 잠원로3길 28,(잠원동/반원초등학교),127.004236132457,37.5103872227025
서울매헌초등학교,6780,서울특별시 서초구 언남길 8,(양재동/매헌초등학교),127.042057861972,37.4712624819608
서울도성초등학교,6213,서울특별시 강남구 역삼로 313,(역삼동/도성초등학교),127.048872178861,37.5014620128395
서울도곡초등학교,6205,서울특별시 강남구 선릉로64길 33,(대치동/ 도곡초등학교),127.054465527162,37.4995114113359
서울대현초등학교,6187,서울특별시 강남구 역삼로98길 16,(대치동/대현초등학교),127.063292075669,37.5034861238053
